code,name,cause_group,death_circumstance,coronial_investigation_risk,registration_complexity
A00,Cholera,Infectious diseases,Expected medically managed,Low,Standard
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Infectious diseases,Expected medically managed,Low,Standard
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Infectious diseases,Expected medically managed,Low,Standard
A00.9,"Cholera, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A01,Typhoid and paratyphoid fevers,Infectious diseases,Expected medically managed,Low,Standard
A01.0,Typhoid fever,Infectious diseases,Expected medically managed,Low,Standard
A01.1,Paratyphoid fever A,Infectious diseases,Expected medically managed,Low,Standard
A01.2,Paratyphoid fever B,Infectious diseases,Expected medically managed,Low,Standard
A01.3,Paratyphoid fever C,Infectious diseases,Expected medically managed,Low,Standard
A01.4,"Paratyphoid fever, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A02,Other salmonella infections,Infectious diseases,Expected medically managed,Low,Standard
A02.0,Salmonella enteritis,Infectious diseases,Expected medically managed,Low,Standard
A02.1,Salmonella sepsis,Infectious diseases,Expected medically managed,Low,Standard
A02.2,Localized salmonella infections,Infectious diseases,Expected medically managed,Low,Standard
A02.8,Other specified salmonella infections,Infectious diseases,Expected medically managed,Low,Standard
A02.9,"Salmonella infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A03,Shigellosis,Infectious diseases,Expected medically managed,Low,Standard
A03.0,Shigellosis due to Shigella dysenteriae,Infectious diseases,Expected medically managed,Low,Standard
A03.1,Shigellosis due to Shigella flexneri,Infectious diseases,Expected medically managed,Low,Standard
A03.2,Shigellosis due to Shigella boydii,Infectious diseases,Expected medically managed,Low,Standard
A03.3,Shigellosis due to Shigella sonnei,Infectious diseases,Expected medically managed,Low,Standard
A03.8,Other shigellosis,Infectious diseases,Expected medically managed,Low,Standard
A03.9,"Shigellosis, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A04,Other bacterial intestinal infections,Infectious diseases,Expected medically managed,Low,Standard
A04.0,Enteropathogenic Escherichia coli infection,Infectious diseases,Expected medically managed,Low,Standard
A04.1,Enterotoxigenic Escherichia coli infection,Infectious diseases,Expected medically managed,Low,Standard
A04.2,Enteroinvasive Escherichia coli infection,Infectious diseases,Expected medically managed,Low,Standard
A04.3,Enterohaemorrhagic Escherichia coli infection,Infectious diseases,Expected medically managed,Low,Standard
A04.4,Other intestinal Escherichia coli infections,Infectious diseases,Expected medically managed,Low,Standard
A04.5,Campylobacter enteritis,Infectious diseases,Expected medically managed,Low,Standard
A04.6,Enteritis due to Yersinia enterocolitica,Infectious diseases,Expected medically managed,Low,Standard
A04.7,Enterocolitis due to Clostridium difficile,Infectious diseases,Expected medically managed,Low,Standard
A04.8,Other specified bacterial intestinal infections,Infectious diseases,Expected medically managed,Low,Standard
A04.9,"Bacterial intestinal infection, unspecified",Infectious diseases,Expected medically managed,Low,Standard
A05,"Other bacterial foodborne intoxications, not elsewhere classified",Infectious diseases,Expected medically managed,Low,Standard
A05.0,Foodborne staphylococcal intoxication,Infectious diseases,Expected medically managed,Low,Standard
A05.1,Botulism,Infectious diseases,Expected medically managed,Low,Standard
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Infectious diseases,Expected medically managed,Low,Standard
A05.3,Foodborne Vibrio parahaemolyticus intoxication,Infectious diseases,Expected medically managed,Low,Standard
A05.4,Foodborne Bacillus cereus intoxication,Infectious diseases,Expected medically managed,Low,Standard
A05.8,Other specified bacterial foodborne intoxications,Infectious diseases,Expected medically managed,Low,Standard
