code,term
A39,Meningococcal infection
A39.0,Meningococcal meningitis
A39.1,Waterhouse-Friderichsen syndrome
A39.2,Acute meningococcaemia
A39.3,Chronic meningococcaemia
A39.4,"Meningococcaemia, unspecified"
A39.5,Meningococcal heart disease
A39.8,Other meningococcal infections
A39.9,"Meningococcal infection, unspecified"
A40,Streptococcal sepsis
A40.0,"Sepsis due to streptococcus, group A"
A40.1,"Sepsis due to streptococcus, group B"
A40.2,"Sepsis due to streptococcus, group D and enterococcus"
A40.3,Sepsis due to Streptococcus pneumoniae
A40.8,Other streptococcal sepsis
A40.9,"Streptococcal sepsis, unspecified"
A41,Other sepsis
A41.0,Sepsis due to Staphylococcus aureus
A41.1,Sepsis due to other specified staphylococcus
A41.2,Sepsis due to unspecified staphylococcus
A41.3,Sepsis due to Haemophilus influenzae
A41.4,Sepsis due to anaerobes
A41.5,Sepsis due to other Gram-negative organisms
A41.8,Other specified sepsis
A41.9,"Sepsis, unspecified"
G00,"Bacterial meningitis, not elsewhere classified"
G00.0,Haemophilus meningitis
G00.1,Pneumococcal meningitis
G00.2,Streptococcal meningitis
G00.3,Staphylococcal meningitis
G00.8,Other bacterial meningitis
G00.9,"Bacterial meningitis, unspecified"
G03,Meningitis due to other and unspecified causes
G03.0,Nonpyogenic meningitis
G03.1,Chronic meningitis
G03.2,Benign recurrent meningitis [Mollaret]
G03.8,Meningitis due to other specified causes
G03.9,"Meningitis, unspecified"
G40,Epilepsy
G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
G40.3,Generalized idiopathic epilepsy and epileptic syndromes
G40.4,Other generalized epilepsy and epileptic syndromes
G40.5,Special epileptic syndromes
G40.6,"Grand mal seizures, unspecified (with or without petit mal)"
G40.7,"Petit mal, unspecified, without grand mal seizures"
G40.8,Other epilepsy
G40.9,"Epilepsy, unspecified"
I20,Angina pectoris
I20.0,Unstable angina
I20.1,Angina pectoris with documented spasm
I20.8,Other forms of angina pectoris
I20.9,"Angina pectoris, unspecified"
I21,Acute myocardial infarction
I21.0,Acute transmural myocardial infarction of anterior wall
I21.1,Acute transmural myocardial infarction of inferior wall
I21.2,Acute transmural myocardial infarction of other sites
I21.3,Acute transmural myocardial infarction of unspecified site
I21.4,Acute subendocardial myocardial infarction
I21.9,"Acute myocardial infarction, unspecified"
I22,Subsequent myocardial infarction
I22.0,Subsequent myocardial infarction of anterior wall
I22.1,Subsequent myocardial infarction of inferior wall
I22.8,Subsequent myocardial infarction of other sites
I22.9,Subsequent myocardial infarction of unspecified site
I23,Certain current complications following acute myocardial infarction
I23.0,Haemopericardium as current complication following acute myocardial infarction
I23.1,Atrial septal defect as current complication following acute myocardial infarction
I23.2,Ventricular septal defect as current complication following acute myocardial infarction
I23.3,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction
I23.4,Rupture of chordae tendineae as current complication following acute myocardial infarction
I23.5,Rupture of papillary muscle as current complication following acute myocardial infarction
I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
I23.8,Other current complications following acute myocardial infarction
I24,Other acute ischaemic heart diseases
